Type;Countries;Acronym
EU Member States;Belgium;BE
EU Member States;Bulgaria;BG
EU Member States;Czechia;CZ
EU Member States;Denmark;DK
EU Member States;Germany;DE
EU Member States;Estonia;EE
EU Member States;Ireland;IE
EU Member States;Greece;EL
EU Member States;Spain;ES
EU Member States;France;FR
EU Member States;Italy;IT
EU Member States;Cyprus;CY
EU Member States;Latvia;LV
EU Member States;Lithuania;LT
EU Member States;Hungary;HU
EU Member States;Netherlands;NL
EU Member States;Austria;AT
EU Member States;Poland;PL
EU Member States;Portugal;PT
EU Member States;Romania;RO
EU Member States;Slovakia;SK
EU Member States;Finland;FI
EU Member States;Sweden;SE
EFTA Member States;Iceland;IS
EFTA Member States;Norway;NO
EU Candidate Countries;Turkey;TR
