Part;WaterCategory;QuestionNo;QuestionNo_a;QuestionNo_b;Question;ResponseType;ResponseOptionRef;ResponseOptionText;ResponsesPerOption;BE;BE-Br;BE-Fl;BE-Wa;BG;CZ;DK;DE;EE;IE;EL;ES;FR;IT;CY;LV;LT;HU;NL;AT;PL;PT;RO;SK;FI;SE;IS;NO;TR
A;Lakes;1,1;1;1;Have you set management objectives for nutrients for lakes that are exposed to nutrient pollution?;Categorical;1.1.1;Yes, for all nutrient polluted water bodies ;21;;;;;1;1;;1;1;1;1;;1;1;;1;1;1;1;1;1;1;1;;1;1;1;1;1
A;Lakes;1,1;1;1;Have you set management objectives for nutrients for lakes that are exposed to nutrient pollution?;Categorical;1.1.2;Yes, for some nutrient polluted water bodies;4;;;;;;;1;;;;;1;1;;1;;;;;;;;;;;;;;
A;Lakes;1,1;1;1;Have you set management objectives for nutrients for lakes that are exposed to nutrient pollution?;Categorical;1.1.3;No;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
A;Lakes;1,2;1;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;1.2.1;Phosphorus ;9;;;;;;1;1;;;1;;1;1;;;;;;1;1;;;;;1;1;;;
A;Lakes;1,2;1;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;1.2.2;Nitrogen;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
A;Lakes;1,2;1;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;1.2.3;Phosphorus & Nitrogen;16;;;;;1;;;1;1;;1;;1;1;1;1;1;1;;;1;1;1;;;;1;1;1
A;Lakes;1,2;1;2;When setting management objectives for nutrients, is there a focus on reduction of phosphorus, nitrogen, or both or on the limiting nutrient? Please explain why.;Categorical and Open;1.2.4;Limiting Nutrient ;4;;;;;;;;1;;;;1;;1;;;;;;;;;;;1;;;;
A;Lakes;1,3;1;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;1.3.1;Modelling based on nutrients vs BQE-response relationships;16;;;;;;;1;1;1;1;;1;1;1;1;;;1;1;1;1;1;;;1;;;1;1
A;Lakes;1,3;1;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;1.3.2;Historical information ;8;;;;;;;;1;1;;;1;1;;;1;;1;;1;;1;;;;;;;
A;Lakes;1,3;1;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;1.3.3;Expert Judgement;11;;;;;1;;;1;1;;1;1;1;;;1;;1;;1;;1;;;;;1;;
A;Lakes;1,3;1;3;If you have set management objectives for nutrients, please indicate which methodology has been used and provide a short description of the methodology including links to background reports or publications. In the description, please indicate whether and how you have considered pressure-response relationships;Categorical and Open;1.3.4;Other;9;;;;;;1;;;;;1;;1;1;;;1;;;;;;1;;1;1;1;;
A;Lakes;1,4;1;4;Do you determine the maximum critical load or a load reduction target that is compatible with good status for nutrient sensitive BQEs? What methodology do you use?;Categorical and Open;1.4.1;Yes;8;;;;;;;1;1;;;1;;;;;1;;;1;;1;;;;1;1;;;
