Part;WaterCategory;QuestionNo;QuestionNo_a;QuestionNo_b;Question;ResponseType;ResponseOptionRef;ResponseOptionText;ResponsesPerOption;BE;BE-Br;BE-Fl;BE-Wa;BG;CZ;DK;DE;EE;IE;EL;ES;FR;IT;CY;LV;LT;HU;NL;AT;PL;PT;RO;SK;FI;SE;IS;NO;TR
C;Lakes;1,1;1;1;When is nutrient reduction decided to be necessary for lakes? ;Categorical;1.1.1;When a water body is classified as failing good status according to nutrient-sensitive-biological quality elements (BQEs);14;;;;;;;;1;1;1;1;;1;1;;;1;1;1;1;1;1;1;;1;;;;
C;Lakes;1,1;1;1;When is nutrient reduction decided to be necessary for lakes? ;Categorical;1.1.2;When a water body is classified failing good status according to nutrient good/moderate boundaries (if yes, please specify if this applies to both P and N, or only to the limiting nutrient)  ;15;;;;;1;1;;1;1;1;;1;1;1;1;;;1;1;;1;1;1;;1;;;;
C;Lakes;1,1;1;1;When is nutrient reduction decided to be necessary for lakes? ;Categorical;1.1.3;When a water body is classified as failing good status according to both nutrient-sensitive-BQEs and nutrients   ;11;;;;;;;1;1;1;;;;1;1;;1;1;;;;;;1;;1;1;;1;
C;Lakes;1,1;1;1;When is nutrient reduction decided to be necessary for lakes? ;Categorical;1.1.4;When a water body is classified as good status for nutrient-sensitive BQEs, but deteriorating towards moderate due to increasing pressures or impacts (precautionary principle);6;;;;;;;;1;;1;;1;1;;;;;;;;;;1;;1;;;;
C;Lakes;1,1;1;1;When is nutrient reduction decided to be necessary for lakes? ;Categorical;1.1.5;When downstream water bodies fail to reach good status due to nutrient pollution;5;;;;;;;;1;;;;;1;;;;;;;;;;1;;1;1;;;
C;Lakes;1,1;1;1;When is nutrient reduction decided to be necessary for lakes? ;Categorical;1.1.6;Other;7;;;;;;;;;;;;;;1;;;;;1;;1;1;;;;1;1;;1
C;Rivers;1,2;1;1;When is nutrient reduction decided to be necessary for rivers? ;Categorical;1.2.1;When a water body is classified as failing good status according to nutrient-sensitive-biological quality elements (BQEs);13;;;;;;;;1;1;1;;;1;1;;;;1;1;1;1;1;1;1;1;;;;
C;Rivers;1,2;1;1;When is nutrient reduction decided to be necessary for rivers? ;Categorical;1.2.2;When a water body is classified failing good status according to nutrient good/moderate boundaries (if yes, please specify if this applies to both P and N, or only to the limiting nutrient)  ;19;;;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;;1;;;;
C;Rivers;1,2;1;1;When is nutrient reduction decided to be necessary for rivers? ;Categorical;1.2.3;When a water body is classified as failing good status according to both nutrient-sensitive-BQEs and nutrients   ;8;;;;;;;;1;1;;;;1;1;;;;;;;;;1;;1;1;;1;
C;Rivers;1,2;1;1;When is nutrient reduction decided to be necessary for rivers? ;Categorical;1.2.4;When a water body is classified as good status for nutrient-sensitive BQEs, but deteriorating towards moderate due to increasing pressures or impacts (precautionary principle);7;;;;1;;;;1;;1;;1;1;;;;;;;;;;1;;1;;;;
C;Rivers;1,2;1;1;When is nutrient reduction decided to be necessary for rivers? ;Categorical;1.2.5;When downstream water bodies fail to reach good status due to nutrient pollution;8;;;;1;;;;1;;;;;;;;1;1;;;;1;;1;;1;1;;;
C;Rivers;1,2;1;1;When is nutrient reduction decided to be necessary for rivers? ;Categorical;1.2.6;Other;9;;;;;;;1;;;;;;1;1;;;;;1;;1;1;;;;1;1;;1
C;Transitional;1,3;1;1;When is nutrient reduction decided to be necessary for transitional waters? ;Categorical;1.3.1;When a water body is classified as failing good status according to nutrient-sensitive-biological quality elements (BQEs);9;;;;;;;;1;;1;;1;1;1;;;;;1;;1;1;1;;;;;;
C;Transitional;1,3;1;1;When is nutrient reduction decided to be necessary for transitional waters? ;Categorical;1.3.2;When a water body is classified failing good status according to nutrient good/moderate boundaries (if yes, please specify if this applies to both P and N, or only to the limiting nutrient)  ;10;;;;;;;;1;;1;1;1;;1;;1;;;1;;1;1;1;;;;;;
C;Transitional;1,3;1;1;When is nutrient reduction decided to be necessary for transitional waters? ;Categorical;1.3.3;When a water body is classified as failing good status according to both nutrient-sensitive-BQEs and nutrients   ;6;;;;;;;;1;;1;;;1;1;;;1;;;;;;1;;;;;;
C;Transitional;1,3;1;1;When is nutrient reduction decided to be necessary for transitional waters? ;Categorical;1.3.4;When a water body is classified as good status for nutrient-sensitive BQEs, but deteriorating towards moderate due to increasing pressures or impacts (precautionary principle);4;;;;;;;;1;;1;;;1;;;;;;;;;;1;;;;;;
