Country;Explanation
BE-Wa;The results produced by the models are compared as much as possible with field measurements. These models are therefore subject to continuous improvement processes through the validation of the results.
BE-Wa;Uncertainties are globally reduced until they are compatible with a coherent representation of reality.  Where this perspective cannot be met, the results are interpreted with the utmost caution.
CZ;There are quite a few uncertainties in modelling:
CZ;When determining the value of the specific runoff (the agreement of the results based on the calculation with the values derived on the basis of the measured data expressed by the coefficient of determination R2 is 0,73),
CZ;When calculating total phosphorus transported by erosion:
CZ;Flat-rate derivation of the total phosphorus content in soils, which in its current form does not respect the different contents of phosphorus in soils of the same type on different geological substrates,
CZ;The use of the equation for the enrichment ratio, which was derived for the territory of the USA and has not yet been verified in the conditions of CZ,
CZ;A flat-rate estimate of the share of dissolved forms of phosphorus in erosive runoff, which may vary significantly depending on the type of farming in CZ.
CZ;The modelled values of sediment transport should be verified against the accumulated amounts of sediment in the reservoirs, wherever possible. In local studies, it is also recommended to physically model the transport of sediments episodically and to compare the predicted concentrations and substance ratios with the measured values in streams. When using regular monitoring data, it is necessary to pay attention to the limitations resulting from the episodic course of erosion transport processes.
CZ;The creation of the models of nutrient (phosphorus) transport in the river basin is mostly part of specific projects for selected important river basins. The lack of field data is an obstacle to the routine creation of models and their verification (calibration, validation). The monitoring system currently set for the implementation of Water Framework Directive in the CZ does not lead to obtaining a sufficient amount of the necessary data.
DK;Uncertainties not known, but are taken in account by bias correction:
DK;Nutrient losses from monitored catchments is calculated by the models. Bias between monitored result and modelled result is calculated for a region. Modelled result for a catchment not monitored is bias corrected with the bias factor for the region.
DE;Uncertainties can vary between the applied model types and depend on the certainty/reliability of the data used to feed the model. E.g., there are bigger potential uncertainties related to diffuse sources than to point sources of nutrients. Consideration of fluctuation ranges helps to estimate the ranges of uncertainty for individual emission pathways. Additionally, long-term mean monitoring data is used to validate modelling results.
EE;Data not available. Improvements of the model are constantly ongoing.
IE;The models have been validated against monitoring data with reasonably good success. Nevertheless, as all models have inherent uncertainties, the modelled outputs are not used in IE for regulatory purposes. They are used to guide and direct further field scale assessments of the issues, and to target interventions. 
IE;Packham, I., Mockler, E., Archbold, M. et al. Catchment Characterisation Tool: Prioritising Critical Source Areas for managing diffuse nitrate pollution. Environ Model Assess 25, 23–39 (2020). https://doi.org/10.1007/s10666-019-09683-9
FR;Difficult to answer this question! The uncertainties are highly variable and depend on the size of the rivers modelled, the time scales considered and the data sets available (which also have their uncertainties).
FR;"At the annual scales: the uncertainties vary from year to year. The transfer processes in the soil and groundwater are not explicitly represented in the model. A comparison of the flows calculated by the model (with the estimates made by other methods based on concentration) and flow measurements is realised. At a daily scale; the uncertainties are greater: comparison with measured concentrations: calibration of soil input coefficients per hydrological zone, verification of calculated flows, verification of discharged flows. The uncertainties are greater on small rivers than on large ones."
FR;Uncertainty varies greatly depending on the quality of the input datasets. The simulated status generally differs by less than one class from the measured status. When the measured condition is much lower than the modelled condition, the objective is to set up a survey control to identify the causes of the degradation of the condition and the measures to be implemented.
FR;The uncertainties of modelling depend on the input datasets:
FR;Low uncertainty (a few per cent) on the monitoring data of environments
FR;Variable but low uncertainties (because validation for fiscal or inspection use) on the data from charges and premiums, self monitoring data of classified facilities, etc. Discharges not subject to declaration to the water agency (because no usable data) are not taken into account .
FR;"Uncertainty on the QMNA5 resulting from removable volume studies (up to 30% in some basins, see methods of removable volume studies,), supplemented by IRSTEA's multi-model QMNA5 (""values in an 80% range"", see the report on the Multi-model combination and consensus mapping of the low water level reference flow and the average flow on the French scale, IRSTEA 2012)"
FR;The data resulting from the MOSQUITEAU modelling allows to qualify a level of impact of each pressure (urban-industrial nutrients and nutrients of agricultural origin) according to 3 levels:
FR;no or low impact (no pressure or non-measurable impact)
FR;medium impact, measurable but whose effect is located at the water body scale
FR;strong impact, likely to downgrade the status of the water body.
FR;"This division into 3 classes has the effect of ""smoothing"" the variations between the uncertainties."
FR;The risk of not achieving the nutrient-specific good status objectives is then assessed on the basis of the cumulative impacts of the 2 urban/industrial and agricultural nutrient pressures, which may be similar in nature and effect and/or cumulative.
FR;A technical consultation of local water management stakeholders is carried out to check that the diagnosis proposed by the basin corresponds to a local reality. This consultation thus enables the diagnosis to be shared with local stakeholders. Then the programme of measures to achieve good status is built locally.
FR;References:
FR;"(reports) PEGASE Model (Aquapôle Université de Liège – rapport 2019 - Application au bassin Seine-Normandie du modèle PEGASE inclus dans le logiciel PEGOPERA), RIVERSTRAHLER (PIREN-Seine phase VII - rapport 2018 - Modélisation des apports diffus d’azote et de phosphore  aux masses d’eau de surface du bassin Seine-Normandie)"
LV;The model is calibrated against time series of measured nitrogen or phosphorus concentrations by adjusting two parameters, c0 and kvs, enabling to calibrate the model such that the computed output compares well to the measured data. The model provides the user with three different methods (manual calibration, Monte Carlo simulations, automatic calibration) for calibration and/or evaluation of sensitivity to individual parameter values.
LT;Uncertainties are very large due to the fact that very important data for the application of fertilizers in farms are not available in the country. This data is derived from other sources. Moreover, there are plenty of issues with data from other sources and complexity of the SWAT model itself that compound uncertainties on the top of each other. 
LT;So far we have not quantified uncertainties for the results coming from the model. We mostly were working with trying to address data problems and update or recalibrate model to increase its compatibility with available monitoring data.  
HU;The uncertainties are large, and can be handled only roughly. See the above publication (Jolánkai et al., 2020) for details.
NL;Uncertainties are large, also in hydrology. It is a process model. Therefore for management purposes these models are not suitable for one individual waterbody, but at more aggregated level, sub catchment. We can offer a presentation on this national analysis for nutrients, with specific attention on how it was done.
PL;For a part of the project we were using a SWAT model to estimate selected chemical substances outflow with surface water and groundwater. Estimations were made specifically for surface sources of area type of pollutants, coming from farming, industry and transportation. Used model estimates processes of surface, unsaturated and saturated zone retention as a circle for non-biological matters circulation with water. 
PL;Uncertainties are coming from specific areas:
PL;"Quality of the monitoring data concerning pollutants, here uncertainties are quite stable - 5-7% for monitoring station, but could increase to 10-12% when re-shaped to spatial distribution;"
PL;"Quality of the geographical and hydrological spatial data, here uncertainties are no higher than 5%, sources of the data are governmental institutions, quality of the primary data is granted by geodesic survey;"
PL;"Modeling results uncertainties, here the results were compared with regional experimental data coming from geochemistry; data were come from scientific articles and field research results."
PL;Modelling and field research results are not very varied. Difference was between 3 to 12 %, while accepted error is 15%.
PL;That results let us accept SWAT model results as credible.
RO;Monitoring intervals are of decisive importance: the uncertainties of calculated loads increase with decreasing monitoring frequency (for nitrogen monitored at a frequency less than 14 days there is an uncertainty of minimal 20-30%) – the increasing the monitoring frequency reduce the uncertainty.
FI;Coastal: The uncertainties are considerable. The model itself does not deal with the uncertainties. However, the results are compared to river-based nutrient load observations.
FI;Rivers and lakes: The uncertainties are considerable. Also, spatial variation of uncertainties is considerable depending on availability of concentration observations and accuracy of the input data. The model itself does not deal with the uncertainties. However, we can give an expert estimate of the uncertainty on water body level.
SE;https://www.smed.se/vatten/3957
NO;Difficult to estimate the uncertainties.
